"","KEGG_ID","CSID"
"2","C20171",142218
"4","C01367",37610
"5","C04378",389289
"6","C14568",47944
"7","C19970",4883392
"8","C00362",58570
"9","C00020",5858
"10","C00946",84953
"12","C00311",1161
"13","C00158",305
"14","C03600",33697
"15","C00679",388423
"16","C03921",389156
"17","C04575",389343
"18","C04617",394789
"19","C00451",4477081
"20","C02780",92407
"21","C00819",128633
"22","C05100",141172
"23","C16673",144380
"24","C00064",5746
"25","C00303",718
"26","C18655",12938
"27","C01062",152
"28","C01112",163687
"29","C06239",17229503
"30","C03342",19337957
"31","C03291",21230426
"33","C06473",2299693
"34","C19137",2301543
"35","C20248",26332127
"36","C00117",388313
"37","C00199",388327
"38","C00231",388330
"39","C00333",388354
"40","C00620",388373
"41","C00558",388398
"42","C00618",388406
"43","C00905",388470
"44","C01101",388516
"45","C02024",388704
"46","C03736",389102
"47","C03737",389103
"48","C03906",389151
"49","C06238",389787
"50","C06441",389840
"51","C06472",389858
"52","C06477",389860
"53","C06814",389974
"54","C08348",390200
"55","C08350",390202
"58","C13085",58552
"60","C18724",8205
"62","C00191",85463
"63","C15673",92502
"64","C04064",111287
"65","C04062",113834
"66","C00354",150604
"69","C01220",17216032
"70","C03693",2300632
"73","C03785",389117
"74","C04063",389196
"75","C10311",391077
"76","C01231",74362
"77","C00665",94762
"78","C05378",9848
"79","C05578",102690
"80","C00650",145901
"81","C02775",20546
"82","C03574",389
"83","C03742",389105
"84","C09957",390956
"85","C07418",5643
"86","C11130",5872
"87","C00073",5907
"88","C00855",76512
"89","C01733",853
"90","C02385",227
"91","C00062",6082
"92","C00792",64224
"93","C01933",19964
"94","C02486",2042285
"95","C01570",388617
"97","C08263",390173
"98","C02378",548
"99","C00123",5880
"100","C00407",6067
"101","C16647",66762
"102","C06418",69017
"103","C16434",769
"104","C16439",834
"107","C20277",26001508
"108","C01142",388530
"109","C01186",388540
"110","C05161",389478
"111","C00739",51793
"112","C00047",5747
"113","C16440",843
"114","C01162",133517
"115","C00135",6038
"116","C06419",64237
"117","C00768",752
"118","C16862",30790956
"120","C15744",30792048
"122","C19076",30791331
"123","C10610",391178
"124","C11819",391644
"125","C14251",5732
"127","C11697",84407
"128","C05643",1794
"130","C08482",4444599
"131","C08509",4444610
"132","C16309",4472314
"133","C07423",5762
"135","C16311",7827712
"138","C18762",8078
"139","C20575",96988
"140","C15504",10128486
"141","C18423",10441969
"142","C06499",114711
"145","C02927",30791422
"146","C01268",388566
"148","C12600",4602
"149","C06857",6573
"150","C02868",89997
"151","C10215",65237
"154","C20640",30785740
"155","C12632",4445350
"156","C17998",30791520
"158","C08102",390129
"159","C11238",2303
"163","C05635",1760
"164","C16596",19250428
"165","C02712",395338
"166","C06725",4573742
"169","C20321",28184690
"170","C17575",30791624
"173","C00178",1103
"174","C14687",13836591
"175","C20335",13837670
"176","C20657",190756
"177","C03044",196452
"178","C03046",388924
"179","C02835",86856
"180","C04867",4444322
"181","C20388",4446265
"183","C02567",892
"184","C19994",8929308
"186","C20138",21250960
"187","C18791",102925
"188","C15019",213722
"189","C14997",215115
"190","C17413",30089
"191","C08781",390396
"192","C14894",4512695
"193","C07471",1916
"196","C11486",391491
"197","C15642",4488475
"198","C11310",36101
"199","C14280",75385
"200","C15182",10128412
"203","C12474",20118160
"208","C11368",65391
"210","C15559",10128500
"214","C03432",10128123
"215","C05797",10399509
"217","C18251",141297
"218","C18257",14932
"219","C18258",15939
"221","C08959",390506
"222","C04392",389293
"225","C01204",16735966
"227","C04876",30791312
"229","C16833",30791738
"230","C16881",30790952
"234","C06056",167988
"235","C00147",185
"236","C03059",388929
"237","C08970",30791204
"238","C13765",38399
"240","C00881",13117
"242","C03621",164728
"243","C15344",191796
"244","C04081",19332
"245","C10679",61532
"250","C09336",164274
"251","C06913",25129
"252","C12224",391828
"253","C16224",24022786
"256","C03646",30791415
"258","C00307",13207
"264","C14010",21949
"265","C13142",4589883
"267","C16578",4514548
"268","C16643",4588593
"270","C00570",110296
"272","C10937",49630
"273","C08108",5013196
"276","C10556",306417
"277","C00019",31982
"278","C11601",4445229
"283","C11188",10672
"285","C03683",4444228
"286","C01262",100482
"287","C17021",10470637
"289","C17483",144403
"290","C09950",152480
"291","C14234",2274931
"294","C20407",28533317
"295","C19124",35550
"296","C01425",388598
"297","C04138",389222
"298","C09489",390746
"299","C09582",390780
"300","C09584",390781
"301","C17838",4474622
"302","C15131",4834178
"303","C14549",63119
"304","C09926",79667
"305","C00884",80527
"306","C05282",83831
"308","C14318",8763
"309","C19327",8764
"310","C19251",8777
"311","C15567",10128503
"312","C01263",114790
"313","C18255",133360
"315","C16232",24784895
"316","C12087",30791104
"317","C00509",388383
"318","C01592",388621
"319","C03567",389058
"320","C09751",390851
"321","C06561",4444447
"322","C08578",4444634
"324","C17673",4479581
"326","C06953",45864
"327","C20463",58657
"328","C09047",65436
"329","C09826",65962
"330","C18249",7822253
"331","C14458",8014076
"332","C09614",83750
"333","C15043",20135676
"335","C17019",9119354
"336","C02067",14319
"337","C16745",17305
"338","C00299",5807
"340","C00204",141630
"341","C05410",144747
"343","C03861",167346
"344","C01216",168361
"345","C17101",21427965
"346","C00691",21864837
"347","C16637",21865552
"348","C20251",21865814
"349","C16737",21865815
"350","C00273",278141
"351","C17577",30791622
"353","C00672",388420
"354","C00673",388421
"356","C01040",388493
"357","C01115",388522
"358","C02669",388836
"359","C02692",388842
"360","C02779",388856
"361","C03107",388942
"362","C03269",388988
"363","C05162",389479
"364","C05394",389534
"365","C06892",389983
"366","C11437",391473
"367","C03926",4573592
"369","C03932",544
"372","C00198",6760
"373","C03383",87703
"375","C19679",9096312
"377","C20680",9484818
"378","C13672",1184
"381","C01045",388496
"382","C05520",389588
"383","C15996",393739
"384","C01042",58576
"385","C05678",389626
"386","C00065",5736
"387","C00716",597
"388","C00740",64231
"389","C00346",990
"390","C03741",114525
"391","C00430",134
"392","C01165",167744
"393","C01110",388519
"394","C03341",389003
"395","C03440",389028
"396","C01015",389029
"397","C03651",389081
"398","C05147",389475
"399","C19706",5447158
"400","C01157",5605
"402","C01073",68881
"404","C12739",17322
"409","C11736",5586
"410","C14855",10128363
"411","C14856",10128364
"412","C12472",30791079
"414","C06450",8025921
"416","C19214",16735746
"418","C08483",4444600
"419","C11206",5717
"420","C09953",83301
"421","C18599",11338519
"422","C10517",13085536
"423","C18347",15629
"424","C18840",169711
"425","C04703",26333121
"426","C01225",28184592
"427","C17114",29212623
"430","C04641",389365
"432","C09770",390859
"434","C10527",391139
"435","C10019",4444920
"436","C10199",4445021
"437","C13805",113990
"438","C19217",11448
"440","C19013",22177
"441","C18836",22369729
"443","C18360",30791367
"444","C18356",30791370
"445","C18354",30791371
"446","C02267",388759
"447","C07541",390048
"448","C08740",390376
"449","C08761",390387
"450","C12270",5065
"454","C01187",106511
"456","C04359",13085531
"457","C15218",190363
"459","C02333",388772
"461","C10596",391170
"462","C10052",4444941
"463","C10053",4444942
"464","C10069",4444958
"465","C10092",4444980
"468","C19612",167386
"469","C11165",16744232
"470","C02076",388716
"471","C03274",388990
"472","C06355",389816
"473","C08236",390153
"474","C08355",390207
"476","C09285",4659
"477","C02162",61391
"478","C16361",71754
"479","C14340",72819
"481","C07142",35632
"482","C18436",5190
"484","C18905",30791335
"485","C13739",571062
"486","C05565",761
"487","C12310",391860
"488","C18962",19053
"493","C10025",58507
"494","C08543",30776604
"496","C09788",66162
"497","C05526",8630564
"500","C17971",30791545
"501","C11661",391578
"504","C07384",64827
"505","C01512",80905
"506","C16607",8243682
"507","C09550",10807
"508","C16985",141828
"509","C09611",173542
"510","C08524",30791232
"512","C12178",391798
"514","C11787",4447643
"515","C06173",4481822
"517","C10670",66130
"520","C10285",4445040
"522","C11084",40198
"523","C07417",4563
"524","C10631",86397
"525","C13482",133469
"526","C20313",25940664
"527","C17968",16736502
"530","C04713",90571
"532","C14574",10085
"533","C00974",109514
"534","C10415",158294
"535","C16940",163674
"536","C16233",24784730
"537","C01168",388535
"538","C01378",388591
"539","C05631",389606
"540","C12631",391978
"541","C08724",4444680
"542","C10060",4444949
"543","C10064",4444953
"544","C10083",4444972
"545","C10091",4444979
"547","C15525",4574483
"548","C00105",5808
"549","C09277",65985
"551","C01368",91753
"552","C03031",91808
"553","C20679",1120
"555","C19189",55149
"556","C08426",570940
"557","C13716",113034
"558","C11692",4445240
"559","C01735",4573586
"561","C10634",79248
"563","C13751",97202
"564","C05401",10263569
"565","C09165",114167
"566","C17590",1166
"567","C09728",158494
"568","C08739",161100
"569","C07819",3070
"571","C01716",3693
"572","C03648",389080
"573","C05907",389678
"574","C08742",390377
"575","C09030",390545
"576","C09511",390754
"577","C09736",390841
"578","C10505",391131
"579","C11546",391519
"580","C09787",4444875
"581","C09796",4444877
"584","C09727",65230
"585","C14079",65929
"586","C19017",7585
"587","C06562",8711
"588","C19895",92982
"590","C15598",2938726
"591","C00386",388363
"592","C02345",388778
"593","C06486",389863
"594","C09757",390854
"595","C10276",4445035
"596","C13632",4445417
"597","C10325",87956
"599","C11428",102747
"600","C16205",13338392
"601","C12537",13856959
"602","C16203",158565
"603","C08255",16736295
"604","C07666",2849
"607","C04468",389315
"609","C08260",390172
"610","C01745",4444110
"611","C14233",4445526
"613","C20228",555423
"615","C20227",580812
"616","C01408",8093
"617","C03365",10197144
"618","C03659",10254649
"619","C08257",10254652
"620","C03844",10369209
"622","C03660",18830381
"623","C06353",19101527
"624","C06352",21864849
"625","C05163",24690620
"629","C11429",391468
"630","C11431",391469
"631","C03619",85024
"632","C11432",88945
"633","C11430",9812
"634","C01546",10251740
"638","C17874",30790816
"640","C07780",4444525
"641","C07783",4444527
"642","C10275",4445034
"644","C11708",5164
"646","C10823",83713
"649","C00075",5903
"652","C13440",18069
"653","C13179",3240
"655","C19021",31725
"656","C07104",3827
"657","C06878",389978
"660","C17839",4479464
"663","C07888",2804
"665","C07047",3562
"666","C01067",388504
"667","C02827",388869
"671","C18392",28444
"672","C17401",30791672
"675","C08552",10128209
"676","C20337",19242
"678","C00096",17372
"679","C00394",24608058
"680","C01581",30791442
"681","C15925",30792002
"684","C02280",388761
"688","C08495",90622
"689","C20641",28639397
