"tn1mean","tn2mean","tn3mean","pn1mean","pn2mean","pn3mean"
"1.07_346.0550m/z",200.871012133333,360.026984933333,197.041018633333,17.77998352,33.9449391933333,26.0822051466667
"0.87_145.0982m/z",441.554097733333,649.925037366667,466.8147023,23.1847637966667,196.310329533333,41.3926422533333
"0.72_322.0439m/z",267.342736566667,234.3498589,264.919464133333,146.2012393,111.710805933333,154.411917166667
"0.90_173.1039m/z",879.2026323,1395.37451166667,995.396196333333,43.40383588,98.1993832766667,38.2691951433333
"0.79_145.0616m/z",116.8863199,142.483005633333,132.061820033333,12.3512237033333,35.56676771,4.29838069
"0.73_140.0119m/z",911.112469166667,886.313946533333,1013.53751766667,161.879133266667,202.168237033333,304.293548766667
"0.90_131.0827m/z",242.3223091,356.913309,265.0292067,21.9671229933333,126.0547554,41.97511645
"0.70_323.0284m/z",1590.31972733333,1255.283187,1384.837775,502.3733213,425.582779433333,717.6048059
"0.70_229.0111m/z",824.603616733333,1320.218667,809.3788138,387.119416166667,238.912433,362.253570733333
"1.86_130.0873m/z",575.976618066667,1141.844966,585.0451921,84.6507984,471.0544143,100.41163829
"0.95_154.0620m/z",980.830974433333,1412.623235,1004.09296793333,110.014743366667,694.4980744,231.313637566667
"2.71_154.0629m/z",105.936828066667,111.6426767,91.2906134733333,103.593951833333,114.4772209,99.9685015466667
"2.11_134.0474m/z",88.09202583,70.14450973,80.5975723333333,100.013138603333,52.27306698,185.721610666667
"0.67_191.0196m/z",3145.36414633333,3328.68863566667,3164.438633,1371.421353,1577.352744,1282.050463
"0.73_213.0154m/z",203.923390566667,297.334687,228.138070366667,26.5743595333333,68.7100620166667,16.6094537166667
"1.47_135.0313m/z",639.887113766667,1089.41776433333,633.3895984,183.153492266667,35.3545091833333,155.5714604
"0.77_171.0060m/z",162.047535966667,211.659919533333,109.3849043,28.6423743266667,456.8972545,11.0549753533333
"0.95_135.0313m/z",531.701096433333,658.006161233333,560.8973963,108.366691933333,1000.93811226667,120.297750733333
"0.77_135.0300m/z",359.8075364,367.300758266667,445.2705603,131.33078,337.216314333333,254.9107961
"1.10_244.0680n",150.2479712,422.936748433333,157.6613242,66.45746647,604.106826066667,74.8624920466667
"0.73_244.0682n",256.8854019,277.4604125,248.611710233333,61.72464166,193.332418933333,75.98722115
"0.64_338.9887m/z",129.2553075,221.606889566667,101.596028813333,24.6269186666667,36.2736031,9.221551026
"0.67_261.0722m/z",378.267663533333,460.806016866667,434.339059833333,46.4071004066667,81.84350644,35.32626637
"0.97_225.0986m/z",122.067003133333,177.0223905,191.836397333333,0,20.8137987033333,1.20843251566667
"2.99_209.0686m/z",123.403731766667,133.125163066667,129.762437966667,128.594304333333,136.450304633333,127.601793066667
"0.73_445.0518m/z",186.984259566667,189.225921166667,236.255612366667,31.05927318,5.986017883,45.48543013
"0.73_275.0876m/z",191.852591266667,232.335019433333,229.7729831,19.6574692233333,70.7407235233333,23.7964631666667
"0.73_174.0407m/z",582.4282909,689.715102566667,685.534075033333,36.6993698233333,101.895212466667,54.9506207566667
"0.65_402.9946m/z",222.323771766667,231.171447366667,238.396199566667,49.1791371966667,2.01645644733333,141.436809466667
"2.26_353.0483m/z",577.0612133,611.771115466667,536.796031533333,191.0336023,176.6726493,141.634932866667
"0.67_229.0454m/z",102.410922503333,132.539866866667,126.3124274,20.6437793466667,19.0339560666667,19.7573578566667
"4.86_904.9662m/z",94.7829751833333,389.620347166667,17.2621968566667,9.50138354366667,0,0
"0.99_216.1346m/z",74.1494305566667,124.942408533333,191.136070033333,0,21.2574573166667,0.333788544
"0.67_289.0660m/z",604.9538865,693.127296833333,757.112109766667,52.77202854,136.504655933333,65.7907925466667
"0.75_425.0795m/z",272.7994139,351.952988433333,377.974788333333,45.46842177,20.2773286766667,49.29824045
"0.77_172.0482n",131.5644402,147.475095833333,135.5384388,9.11606996633333,27.3884040033333,9.33017220433333
"2.03_190.0539m/z",129.895724733333,200.762147033333,113.130447466667,74.64685921,99.5000775933333,57.9956685933333
"2.28_247.1068m/z",81.7447206733333,146.125710733333,95.08335568,51.26385663,72.6532818633333,43.7526966266667
"2.09_247.1118m/z",143.4805896,158.4340345,82.4238057433333,83.8947891733333,151.3305008,71.6135030566667
"5.19_905.5317m/z",6473.00810733333,7074.65705266667,3370.77618666667,4483.34631033333,3381.802617,2575.944244
"5.21_869.5429m/z",192310.260033333,255133.5958,166131.4873,94726.6526033333,115494.391936667,96295.9143166667
"0.70_259.0215m/z",489.591342666667,689.584144133333,569.602771333333,120.140458866667,802.191452833333,95.3359395266667
"0.67_294.9929m/z",1211.31071133333,1250.036828,1203.59725466667,596.9306731,603.511888433333,539.318921233333
"0.92_178.0593m/z",277.7746289,441.968102566667,304.258045066667,8.703702875,29.7687192166667,11.2278597633333
"0.73_281.0340m/z",191.900207666667,207.972683733333,192.5114295,72.61534184,136.359898533333,46.3886464833333
"0.77_303.0854m/z",87.93704162,104.148310343333,91.41957429,16.13968834,37.92522117,17.96756827
"0.75_168.0426m/z",257.130596266667,255.651749066667,301.390282833333,61.06632742,119.4379271,77.1961032533333
"2.71_211.1336m/z",1183.073325,1256.47839533333,987.7134642,1248.09410466667,1398.86540233333,1078.17196966667
"0.77_245.0428m/z",363.643144266667,425.4385059,416.1747136,90.08049928,109.538897333333,34.30487516
"0.72_932.2265m/z",156.104195666667,194.310733033333,150.589310966667,0,6.56729037333333,6.47734271566667
"2.71_350.1275m/z",460.6541917,374.7567681,376.446357666667,615.452156266667,1177.405043,417.050901
"3.85_350.1247m/z",2960.40291833333,3172.12240566667,2528.04623666667,3257.66140766667,2978.38368066667,2675.45413366667
"5.86_350.1243m/z",4570.24390633333,4668.70327533333,4517.50859233333,4466.14955666667,4502.947283,4927.373984
"0.77_197.9693m/z",173.238164533333,169.638689666667,185.510805133333,72.1003348033333,62.3623067,89.3839305466667
"2.24_301.1565m/z",1446.93949033333,1934.03237166667,1425.07435066667,1057.51206433333,1771.32144333333,957.472458966667
